JobTitle,Company,Location,Salary,JobDescription,QualificationsSkills
Data Scientist,Exact Sciences,Redwood City,$85K-$135K,"The Data Scientist performs data analysis to extract knowledge or insight from structured or unstructured data. This position will apply advanced statistical algorithms for analysis of large-scale, complex datasets. This position will keep up to date with cutting-edge techniques in programming, machine learning, big data, and healthcare modeling and will seek ways to advance the organization’s capabilities in analytics.","Bachelor’s degree in computer science, data science, information technology, or related field.
3+ years of experience working with large datasets for drawing business insights.
1+ years of experience in a data science role.
Professional working knowledge of machine learning; including solving complex business problems, predictive modeling, leveraging both structured and unstructured data sources, relational databases, and SQL.
Professional working knowledge of statistics and modeling techniques.
Fluent in Python or R programming.
Demonstrated ability to learn new technologies.
Proficient in Microsoft Office.
Demonstrated ability to perform the Essential Duties of the position with or without accommodation.
Authorization to work in the United States without sponsorship. Master’s degree in science, technology, engineering, mathematics, or related field.
Experience in cloud environments.
Professional working knowledge of distributed computing and big data technologies, such as Spark or related technologies.
Professional working knowledge of statistical methodologies and tools (R, SAS, SPSS, etc.), mathematical optimization, control theory, and time-series analysis. 
Professional working knowledge of Natural Language Processing, Information Retrieval, or Recommender Systems."
Data Analyst,Levi Strauss & Co.,San Francisco,$68K-$91K,"Conduct analysis on complex retail data, measure and track data created by data products, and convert them into key KPI metrics.
Support business stakeholders and regional data analysts by understanding their needs and providing guidance and support.
Create dashboards to track the adoption and business impact of launched features and data products.
Dive deep into complex business problems, provide insights, and partner with cross-functional teams on implementation.
Collaborate with data science, data analytics, and product managers on planning, goal setting, and prioritization.
Work with data and engineering teams to improve data quality, data analysis, and business debugging.
Bring data to life through storytelling in a clear and meaningful way to audiences with varying levels of technical expertise, informing key strategic decisions.
Promote a culture of data-driven technical excellence, ownership, and collaboration.
Optimize and standardize reporting through automation.
You will report to the Manager of Global Planning (Analytics & Reporting)","Over 3 years of professional experience in analyzing complex data, drawing conclusions, and making recommendations.
More than 3 years of applied data visualization experience, with proficiency in Tableau, Looker, or PowerBI being a plus.
At least 3 years of experience in extracting and manipulating large data sets from various relational databases using SQL (experience with Google BigQuery or MSsql is a plus).
Experience with data integration tools such as Alteryx, Dataiku, or Data Fusion.
Coding skills in at least one statistical or programming language (preferably Python or R) to import, summarize, and analyze data is a plus.
Hands-on experience working with big data, such as sales, inventory management, and planning; retail knowledge is an advantage.
Ability to translate and present complex analysis in executive summaries, with clear and effective written and verbal communication, and strong interpersonal skills.
Strong problem-solving abilities.
A Bachelor's degree in Economics, Statistics, Data Science, or Data Engineering (a Master's degree is a plus) or equivalent experience."
Data Analyst,SpotOn,San Francisco,$107K-$140K,"Analytics Genius: Serve up impactful data-backed recs with a focus on predictive modeling and statistical analysis driving strategic decisions and business growth.
Data Transformation: Identify relevant data sources, validate/reconcile data, and build concise and future-proof models designed for adaptability and scalability.
Automation Mastermind: Get to the bottom of data discrepancies and outdated manual processes to ensure smooth operations using machine learning and data pipelines.
Churn Crusader: Dive deep into why merchants are churning, figure out ""what happened,"" and use those insights to help us improve, employing advanced segmentation and predictive analytics.
Visualize Insights: Build intuitive reports to monitor operations and software revenue performance with an emphasis on data storytelling and interactive dashboards.
Team Up: Collaborate with Finance, Operations, Sales, and Product teams to maintain a reliable data infrastructure and contribute to data science initiatives.","3-5 years of experience in data science, business analytics, payments, finance, statistics, or a related field.
Strong SQL skills (ability to write complex queries to extract insights), experience with BI tools, and proficiency in programming languages like Python or R.
Operating with a bias toward sharing, transparency and collaboration is your default!
Diving in, solving problems, and getting things done is second nature - no waiting for perfect conditions.
Thriving in fast-paced environments, embracing ambiguity, and taking initiative without a rulebook."
Data Scientist,Extend,San Francisco,$125K-$145K,"This is a data science / analytics hire to support Extend's Revenue Analytics team. You will have the opportunity to help scale and drive revenue within the organization by partnering with sales, marketing, product, engineering, and business leaders to drive value to our existing products and help to identify new product opportunities. Strategic Pricing and Revenue Optimization: Lead the development and implementation of innovative pricing strategies to maximize revenue generation and enhance client acquisition.
Innovative Experimentation: Conduct A/B testing and experimentation on customer-facing product touchpoints, refining our approach to drive incremental revenue and enhance the merchant experience.
Lead Cross-functional Projects: Work with internal stakeholders such as Sales, Growth, Program, and Servicing teams to define and execute on analytics-driven enhancements to current and future products.
Data-driven Insights: Utilize advanced quantitative analysis techniques to identify and prioritize strategic initiatives, driving increased attach rates and revenue growth for our merchant partners, and opportunities to present the insights to leadership and cross-functional partners on a regular basis.
Data Infrastructure: Collaborate with data engineering and product teams to harness the power of data analytics, defining data structures, and leveraging advanced tracking methodologies to uncover revenue opportunities.","2+ years in an analytics-driven role (analytics, consulting, etc), preferably with a digital product or service
Expertise in Python or R
Strong knowledge of SQL, structuring data and ability to effectively query multiple tables of different grains with use of subqueries and window functions 
An analytical thinker with strong consultative skills for cross-functional work
Practical and theoretical knowledge of A/B testing preferred
A curious, entrepreneurial leader with plenty of grit, analytical prowess, creative thinking, and initiative
Strong written and verbal communication skills
Address ambiguous problems and formulate hypotheses into actionable and well-designed experiments
Ability to dive deep into data and communicate insights to audiences of all backgrounds
Ability and interest in thinking beyond the revenue organization, considering the challenges of other teams, and prioritizing what is best for the business holistically
Empathy and humility
The role prefers 2 days in our San Francisco office"
Data Scientist,Amazon,San Francisco,$125K-$212K,"As a Data Scientist, you'll own the definition and implementation of customer-focused, AI-driven innovation in Amazon Customer Service globally, leveraging GenAI, ML, and/or NLP to transform complex business requirements and customer needs into innovative technology solutions. Your expertise will be key in shaping data-driven strategies and addressing complex data challenges. With expertise in AI, text analysis and embedding, language modeling, and generation, you'll design and develop scalable AI-powered technology solutions, prioritize initiatives, drive data-driven insights, and deliver business impact. This role will involve working with a cross-functional team (e.g., scientists, engineers, product management) to develop scalable and maintainable AI solutions for both structured and unstructured data. The ideal candidate has strong technological skills in ML, NLP, and GenAI, excellent written/documentation skills, and experience with big data technologies. The Data and Artificial Intelligence (AI) team is a new function within Customer Engagement Technology. We own the end-to-end process of defining, building, implementing, and monitoring a comprehensive data strategy. We also develop and apply Generative Artificial Intelligence Generative AI (GenAI), Computer Vision, Machine Learning, Ontologies, and Natural Language Processing (NLP) to customer service associate experiences and foundational technologies.","2+ years of data scientist experience
 3+ years of data querying languages (e.g. SQL), scripting languages (e.g. Python) or statistical/mathematical software (e.g. R, SAS, Matlab, etc.) experience  Experience in Python, Perl, or another scripting language
 Experience in a ML or data scientist role with a large technology company"
Accountant,Neptune Medical,Burlingame,$80K-$100K,"As an Accountant II at Neptune Medical, you will be working with a team that operates in a fast-paced environment. You will have the opportunity to be part of the company’s growth, while further developing your skills in areas of accounting, auditing, taxes, cash management, financial reporting and controls. The ideal candidate has a minimum of 3 years of work experience. We are looking for a driven, reliable and self-starting Accountant who works extremely well with others. This role reports to the Controller/Sr. Director of Finance and will frequently interact with members of the team at different levels. Play an integral role in the day-to-day operations of the accounting function: A/R, A/P, cash management, expense management, Sales and Use tax, and internal controls and recordkeeping.
Perform month-end close activities such as balance sheet account reconciliations and journal entries, prepaid expenses, accrued expenses, fixed assets, etc.
Manage new customer set up, invoicing, commission calculation, support vendor onboarding, invoice import, review and payment processes.
Assist in maintaining overall accounting systems, procedures and policies.
Be on the lookout for broken processes throughout the Accounting function and seek to improve continuously by identifying opportunities for standardization and automation.
Participate in ad hoc accounting or finance projects and analyses as assigned.
Assist in cost accounting and inventory count.","3+ years of work experience
Bachelor’s Degree in Accounting or Business
Detail oriented, willing to learn and have can do attitude
Solid foundation of US Generally Accepted Accounting Principles (GAAP)
Ability to drive to solve complex problems every day
Expert multitasker and self-prioritizer with strong time management and organization skills
Excellent verbal and written communication skills, with the proven ability to communicate effectively both within the accounting department and cross-functionally
Strives for excellence but solves for the bigger picture
Proficiency with Microsoft Excel
Experience working with ERP systems such as: NetSuite,
CPA or CPA candidate a plus
Other financial systems such as Bill.com, RAMP a plus"
Staff Accountant,Digilock,Petaluma,$70K,"This individual will manage key accounting functions, including domestic and international lease management, tax processing, cost accounting, and financial reporting. This role involves working with various systems, such as LeaseCrunch, Avalara, and Syspro, to ensure compliance with accounting standards, maintain tax records, and support audits. You will assist in budgeting, perform variance analysis, manage fixed assets, and oversee month-end processes. The ideal candidate will have strong analytical skills, advanced Excel expertise, and the ability to work independently in a dynamic environment. Manage domestic and international leases using LeaseCrunch to ensure compliance with ASC 842 lease accounting standards.
Process tax returns using Avalara, manage nexus thresholds, register in new states, maintain resale/exemption certificates, and update custom forms in Syspro for the sales and support teams.
Assist in the preparation of quarterly comprehensive financial reports, analyze income statement variances, and reconcile Syspro with China’s Kingdee financial system.
Support the Accounting Manager in budgeting by communicating budget vs. actuals to department managers and reviewing quarterly budget variances.
Assist in coordinating and supporting annual audits for domestic and international locations.
Oversee monthly depreciation postings, formalize asset acquisition and disposal processes, and lead a project to identify and manage fixed assets.
Handle cost accounting, ensuring intercompany pricing and costs are updated in collaboration with supply chain and international offices.
Ensure all month-end journal entries, including expense accruals, depreciation, and intercompany accounts, are posted on time.
Assist the Accounting Manager in leading various accounting and financial projects.
","Bachelors degree in Accounting or Finance
4+ years of experience
Advanced knowledge of Excel such as pivot tables, vlookups, and logical formulas
Advanced knowledge of accounting principles, standards, and regulations
Works independently to solve problems
Ambition to learn and grow
Versatility, flexibility, and a willingness to work within constantly changing priorities with enthusiasm
Commitment to excellence and high standards
Professional appearance and demeanor
Out of the box analytical thinker"
Associate Machine Learning Engineer,Tubi,San Francisco,$140K-$169K,"The Rotational Program - Machine Learning Track is designed for early-career engineers and recent college graduates looking to gain hands-on experience across multiple areas of machine learning engineering teams in a fast-paced tech environment. Over the course of the program, participants will rotate through different machine learning teams, such as user recommendations and ranking, content understanding, and search ranking, to develop a well-rounded technical foundation.
As an Associate Machine Learning Engineer, you will contribute to real-world projects, solve complex technical challenges, and collaborate with experienced engineers, product managers, and data scientists. By the end of the program, participants will have the opportunity to transition into a full-time machine learning engineering role, equipped with the experience and skills to drive innovation.
This program is ideal for candidates who are curious, adaptable, and excited to work across multiple machine learning and artificial intelligence domains while developing expertise in cutting-edge technology. Rotate across three machine learning engineering teams, gaining exposure to different technical disciplines
Design, develop, and optimize scalable systems, infrastructure, and applications
Work with programming languages such as Python, Java, C++, or Go
Apply computer science fundamentals in data structures, algorithms, machine learning, recommender systems and system design
Debug, troubleshoot, and improve system performance and reliability
Collaborate with cross-functional teams to launch and improve products
Gain experience in cloud computing, DevOps, CI/CD pipelines, and distributed systems
Participate in mentorship, technical training, and networking events throughout the program
Engage in engineering-wide initiatives to improve processes and technical standards","Master’s or PhD degree in Computer Science or a related field with emphasis on Machine Learning
Strong coding proficiency in at least one programming language (e.g., Python, Java, C++, Go)
Solid understanding of computer science fundamentals, algorithms, and system design
Demonstrated understanding and interest in machine learning engineering
Passion for problem-solving, collaboration, and building scalable systems
Strong communication skills and ability to work in a team-oriented environment Work Experience: Up to three years of professional and non-internship experience post-graduation
Professional experience (e.g. internship, research assistantship or work experience) in some software engineering areas (infrastructure, machine learning, or front-end development)
Familiarity with cloud platforms (AWS, GCP, Azure) and DevOps tools
Experience with machine learning
Demonstrated curiosity and interest in an engineering area through research, past jobs, open-source contributions, side projects"
Marketing Data Analytics & Insights Specialist,Dolby Laboratories,San Francisco,$87K-$117K,"We are seeking a Marketing Data Analytics and Insights Associate to join our marketing team. This role is essential for measuring and reporting on the success of the marketing organization while leveraging data to inform strategic decisions and optimize operations. This position is part of the Marketing Strategy, Impact, and Operations team and reports to the Business Operations Lead. Conduct quantitative analyses and integrate multiple data sets—including internal metrics and market variables—to generate actionable insights that inform strategic planning.
Develop and maintain data systems, dashboards, and visualizations to track the overall success of the Marketing function.
Partner with global and regional marketing teams to establish processes for consistently tracking and storing key marketing metrics worldwide.","3+ years of experience in business analytics or data science, preferably in a marketing-related role.
Bachelor’s degree in Statistics, Data Science, Computer Science, or a related quantitative field.
Proficiency in data management, statistical analysis, and research techniques.
Experience with business intelligence and analytical tools (e.g., Power BI, Tableau).
Strong analytical and problem-solving skills, with the ability to interpret complex data sets and generate meaningful insights.
Ability to build structured systems and processes within ambiguous environments, ensuring accessibility and usability of data across teams.
Skilled in translating data into digestible insights and actionable recommendations for senior leadership and internal teams.
Interest in technology, entertainment, film/TV, audio, music, or gaming is a plus."
Marketing Manager,WRNS Studio,San Francisco,$90K-$120K,"WRNS Studio is looking for a Marketing Manager with 10 or more years of experience working in the building design industry, preferably in architecture, interior design, engineering, or construction. We welcome candidates from outside the industry if you are passionate about architecture, marketing, and storytelling. The Marketing Manager will be focused on WRNS Studio’s higher education sector. This position brings a great opportunity to gain expertise in a specific market area or areas, while working directly with WRNS Studio’s leadership and contributing to the success of the firm. With responsibility for managing proposals, qualifications, interviews, and awards, the Marketing Manager will guide the success of their sectors while contributing to the whole of the marketing group and the studio. The position also involves communications and business development support. While focused on specific market areas, we operate like a collective, supporting each other and working in collaboration to steward brand, cultivate relationships, drive new business, and recruit and retain the best. The Marketing Manager will support WRNS Studio’s four offices: San Francisco, Seattle, New York, and Honolulu. The position is based in WRNS Studio’s San Francisco office.","Past experience in a marketing role producing proposals
Advanced proficiency in InDesign and PowerPoint; proficiency in Photoshop and Illustrator
Excellent writing, editing and communications skills
Basic skills with graphic layout and presentation
Ability to work on multiple deadlines in a fast-paced environment
Commitment to high quality work and attention to detail
Bachelor’s degree "
